strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
ema_crossover,STRKUSDT,0.75,83,-0.52,8.17,36.14,0.9747,-0.018,1.3,99330.2,50.6,49.4,5.33,2025-11,4088.18,2025-12,-2212.35
ema_crossover,STRKUSDT,1.0,83,-0.81,10.78,36.14,0.97,-0.018,1.3,98946.48,50.6,49.4,5.33,2025-11,5391.55,2025-12,-2945.25
bb_mean_reversion,STRKUSDT,0.25,1274,-75.82,84.47,25.98,0.5101,-6.885,1.3,15855.11,51.6,48.4,81.85,2025-01,1202.0,2025-03,-12042.77
bb_mean_reversion,STRKUSDT,0.5,1274,-92.07,96.4,25.98,0.5574,-6.44,1.3,3734.73,51.6,48.4,81.85,2025-01,1910.22,2025-03,-20119.95
bb_mean_reversion,STRKUSDT,0.75,1274,-97.17,99.04,25.98,0.5831,-6.249,1.3,983.19,51.6,48.4,81.85,2025-01,38.97,2025-03,-25512.72
bb_mean_reversion,STRKUSDT,1.0,1274,-98.89,99.72,25.98,0.6076,-6.202,1.3,289.79,51.6,48.4,81.85,2025-11,-73.03,2025-03,-29910.88
volatility_breakout,STRKUSDT,0.25,122,-4.03,5.51,26.23,0.7831,-1.073,1.3,94805.11,48.4,51.6,7.84,2025-03,1594.16,2025-04,-2417.96
volatility_breakout,STRKUSDT,0.5,122,-8.03,10.87,26.23,0.7799,-1.073,1.3,89716.65,48.4,51.6,7.84,2025-03,3141.72,2025-04,-4776.16
volatility_breakout,STRKUSDT,0.75,122,-11.98,16.08,26.23,0.7769,-1.073,1.3,84747.75,48.4,51.6,7.84,2025-03,4642.73,2025-04,-7073.62
volatility_breakout,STRKUSDT,1.0,122,-15.88,21.12,26.23,0.7738,-1.073,1.3,79910.04,48.4,51.6,7.84,2025-03,6097.31,2025-04,-9309.46
regime_switch_hybrid,SUIUSDT,0.25,239,8.49,2.8,38.49,1.5873,1.829,3.0,127737.88,43.5,56.5,6.63,2025-08,3878.43,2023-08,-2319.5
regime_switch_hybrid,SUIUSDT,0.5,239,17.46,5.54,38.49,1.5936,1.829,3.0,162163.34,43.5,56.5,6.63,2026-04,9630.67,2025-12,-4873.52
regime_switch_hybrid,SUIUSDT,0.75,239,26.92,8.23,38.49,1.5997,1.829,3.0,204610.18,43.5,56.5,6.63,2026-04,17947.9,2025-12,-8765.72
regime_switch_hybrid,SUIUSDT,1.0,239,36.86,10.87,38.49,1.6056,1.829,3.0,256608.44,43.5,56.5,6.63,2026-04,29561.41,2025-12,-13944.05
momentum_breakout,SUIUSDT,0.25,123,-0.14,5.12,29.27,0.9816,-0.029,3.0,99591.6,51.2,48.8,3.41,2026-01,2140.2,2025-08,-1726.32
momentum_breakout,SUIUSDT,0.5,123,-0.34,10.02,29.27,0.9772,-0.028,3.0,98994.11,51.2,48.8,3.41,2026-01,4182.55,2025-08,-3392.69
momentum_breakout,SUIUSDT,0.75,123,-0.6,14.69,29.27,0.9727,-0.027,3.0,98212.26,51.2,48.8,3.41,2026-01,6119.76,2025-08,-4993.77
momentum_breakout,SUIUSDT,1.0,123,-0.92,19.16,29.27,0.9682,-0.026,3.0,97251.72,51.2,48.8,3.41,2026-01,7945.56,2025-08,-6524.74
